股票代码,代码,股票名称,成交价,价格变动,涨跌幅,买入价,卖出价,昨收,开盘价,最高价,最低价,成交量,成交额,时间,市盈率,市净率,总市值,流通市值,换手率
bj835185,835185,贝特瑞,20.320,-0.46,-2.214,20.320,20.330,20.780,20.590,20.960,20.230,1455692,29956737,15:30:00,6.41,1.99,2245060.710784,2211782.852016,0.13374
bj835207,835207,众诚科技,10.930,0.07,0.645,10.930,10.940,10.860,11.150,11.620,10.870,3942480,43958650,15:30:00,43.72,3.053,104703.935,38487.0439,11.19631
bj835237,835237,力佳科技,14.130,-0.58,-3.943,14.130,14.200,14.710,14.590,14.850,14.110,489630,7126798,15:30:00,15.194,1.687,72656.46,48589.591194,1.42386
bj835305,835305,云创数据,14.250,-0.2,-1.384,14.250,14.270,14.450,14.120,14.800,14.100,1807361,26165356,15:30:00,-129.545,2.232,188635.978125,115568.746875,2.22853
bj835368,835368,连城数控,35.390,-1.1,-3.015,35.380,35.390,36.490,36.200,36.540,35.210,597715,21510225,15:30:00,18.242,2.297,826355.22596,427952.219563,0.49429
bj835508,835508,殷图网联,11.470,-0.52,-4.337,11.470,11.480,11.990,11.990,12.260,11.380,1595865,18914007,15:30:00,88.231,2.794,57350.0,29865.0125,6.1291
bj835579,835579,机科股份,19.790,-1.69,-7.868,19.790,19.800,21.480,21.080,23.490,19.710,10729072,229533028,15:30:00,46.023,10.908,256240.92,68543.4566,30.97719
bj835640,835640,富士达,17.500,-1.1,-5.914,17.410,17.500,18.600,18.130,18.680,17.500,3065687,55221994,15:30:00,23.002,3.965,328524.0,307182.59425,1.7465
bj835670,835670,数字人,13.150,-0.16,-1.202,13.150,13.160,13.310,13.310,13.650,13.120,2045623,27396466,15:30:00,-328.75,5.512,139629.856,87327.073615,3.08037
bj835857,835857,百甲科技,4.320,-0.14,-3.139,4.320,4.330,4.460,4.400,4.520,4.300,2259056,9999217,15:30:00,11.368,1.095,78305.744304,45203.669568,2.15892
bj835892,835892,中科美菱,14.300,-1.88,-11.619,14.290,14.300,16.180,15.640,16.590,14.240,9661817,146700009,15:30:00,20.824,2.315,138325.23562,39894.39311,34.63243
bj835985,835985,海泰新能,6.960,-0.2,-2.793,6.950,6.960,7.160,7.060,7.330,6.920,5057509,35933325,15:30:00,15.818,1.71,215395.4352,93590.478984,3.76109
bj836077,836077,吉林碳谷,13.650,-0.37,-2.639,13.650,13.660,14.020,13.910,14.050,13.500,2233953,30827349,15:30:00,6.909,3.213,802185.680205,371417.839065,0.821
bj836149,836149,旭杰科技,7.120,-0.04,-0.559,7.120,7.130,7.160,7.010,7.320,6.990,1920556,13736086,15:30:00,-21.576,2.968,52515.696,34086.957992,4.01161
bj836208,836208,青矩技术,40.500,-0.85,-2.056,40.180,40.500,41.350,41.220,42.000,39.890,340959,13880203,15:30:00,14.935,3.283,277921.7568,49471.66935,2.79126
bj836221,836221,易实精密,17.400,0.4,2.353,17.400,17.410,17.000,16.500,18.520,16.200,7166871,126507060,15:30:00,34.118,4.739,168258.0,50080.332,24.9007
bj836239,836239,长虹能源,14.840,0.17,1.159,14.840,14.870,14.670,14.460,15.240,14.330,1972380,29301352,15:30:00,17.21,2.476,192998.656452,73776.442656,3.96741
bj836247,836247,华密新材,27.390,6.32,29.995,27.390,0.000,21.070,20.980,27.390,20.880,13284593,337747119,15:30:00,44.902,6.053,255333.4146,63834.0384,57.00172
bj836260,836260,中寰股份,8.350,-0.16,-1.88,8.260,8.350,8.510,8.460,8.550,8.250,1290359,10868062,15:30:00,19.419,2.154,86464.25,34627.692985,3.11153
bj836263,836263,中航泰达,7.310,-0.52,-6.641,7.310,7.320,7.830,7.750,7.930,7.300,3945624,30180206,15:30:00,23.581,1.998,102310.76,74434.960972,3.87486
bj836270,836270,天铭科技,15.170,0.42,2.847,15.170,15.180,14.750,14.800,15.680,14.220,2430366,36685567,15:30:00,12.748,3.339,132252.06,33694.3904,10.94207
bj836395,836395,朗鸿科技,9.550,-0.05,-0.521,9.520,9.550,9.600,9.600,9.880,9.460,1308366,12644180,15:30:00,9.272,4.337,87439.8,26432.83762,4.72704
bj836414,836414,欧普泰,14.350,-0.32,-2.181,14.350,14.380,14.670,14.700,14.970,14.120,3052662,44410068,15:30:00,13.571,3.119,95676.54999,56656.77332,7.73177
bj836419,836419,万德股份,9.000,-0.21,-2.28,8.990,9.000,9.210,9.210,9.290,9.000,937775,8585075,15:30:00,11.25,1.635,80332.2936,32934.5577,2.56265
bj836422,836422,润普食品,7.600,-0.2,-2.564,7.600,7.680,7.800,7.690,7.930,7.600,1356549,10521350,15:30:00,7.037,1.555,67246.8596,23251.5996,4.43401
bj836433,836433,大唐药业,5.100,-0.12,-2.299,5.100,5.110,5.220,5.170,5.290,5.080,4828051,24968639,15:30:00,102.0,2.667,131976.36231,86257.66935,2.85459
bj836504,836504,博迅生物,18.360,-3.14,-14.605,18.350,18.360,21.500,20.310,20.900,18.330,4827219,94788298,15:30:00,24.48,3.753,79559.5716,20168.6436,43.94333
bj836547,836547,无锡晶海,26.000,-0.55,-2.072,26.000,26.460,26.550,26.400,27.300,26.000,633883,16914035,15:30:00,18.182,4.82,168324.0,38532.78,4.27713
bj836675,836675,秉扬科技,6.550,-0.19,-2.819,6.550,6.570,6.740,6.750,6.790,6.550,1386975,9233105,15:30:00,18.306,1.998,112789.69,51282.87785,1.77149
bj836699,836699,海达尔,15.100,-0.67,-4.249,15.090,15.100,15.770,15.700,16.090,15.080,891404,13931021,15:30:00,15.895,2.86,68894.203,19064.203,7.06046
bj836717,836717,瑞星股份,7.410,-0.27,-3.516,7.410,7.440,7.680,7.750,7.930,7.380,1433287,11022047,15:30:00,0.0,1.501,84977.88,20854.704,5.09269
bj836720,836720,吉冈精密,11.940,0.28,2.401,11.940,11.980,11.660,11.490,12.500,11.300,6495763,78554343,15:30:00,17.968,5.199,227136.2916,60317.629932,12.8585
bj836807,836807,奔朗新材,6.200,-0.09,-1.431,6.200,6.220,6.290,6.290,6.400,6.160,1354159,8493172,15:30:00,14.091,1.203,112765.6,49678.00344,1.69004
bj836826,836826,盖世食品,9.220,-0.45,-4.654,9.220,9.230,9.670,9.470,9.880,9.190,5283127,50539617,15:30:00,25.611,3.457,108244.263214,46912.504202,10.38325
bj836871,836871,派特尔,7.660,-0.15,-1.921,7.620,7.660,7.810,7.860,7.960,7.660,508628,3986831,15:30:00,27.357,2.379,56483.013856,30335.202472,1.28435
bj836892,836892,广咨国际,13.290,-0.83,-5.878,13.290,13.300,14.120,13.480,14.520,13.050,3543274,48699312,15:30:00,16.823,4.71,171512.840424,147905.897151,3.18379
bj836942,836942,恒立钻具,10.730,-0.22,-2.009,10.730,10.810,10.950,10.880,11.100,10.720,350605,3830497,15:30:00,16.248,1.49,65803.9783,35754.47381,1.05217
