电影名称,电影类型,电影评分,电影标语
心迷宫 / 殡棺/TheCoffinintheMountain,剧情 犯罪 悬疑,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
达拉斯买家俱乐部 / DallasBuyersClub / 续命枭雄(港)/药命俱乐部(台),剧情 传记 同性,8.8,Jared Leto的腿比女人还美！
疯狂原始人 / TheCroods / 古鲁家族(港/台),喜剧 动画 冒险,8.7,老少皆宜，这就是好莱坞动画的魅力。
谍影重重3 / TheBourneUltimatum / 叛谍追击3：最后通牒(港)/神鬼认证：最后通牒(台),动作 悬疑 惊悚,8.8,像吃了苏打饼一样干脆的电影。
英雄本色 / ABetterTomorrow/GanglandBoss,剧情 动作 犯罪,8.6,英雄泪短，兄弟情长。 
上帝之城 / CidadedeDeus / 无主之城(港)/无法无天(台),犯罪 剧情,9.0,被上帝抛弃了的上帝之城。
小丑 / Joker / 小丑起源电影：罗密欧/Romeo,剧情 犯罪 惊悚,8.7,
风之谷 / 風の谷のナウシカ / 风谷少女/KazenotaninoNaushika,动画 奇幻 冒险,8.9,动画片的圣经。
爱在午夜降临前 / BeforeMidnight / 情约半生(港)/爱在午夜希腊时(台),剧情 爱情,8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
绿里奇迹 / TheGreenMile / 绿色奇迹(台)/绿色英里,犯罪 剧情 奇幻 悬疑,8.9,天使暂时离开。
海街日记 / 海街diary / 海街女孩日记(港)/KamakuraDiary,剧情 家庭,8.8,是枝裕和的家庭习作。
纵横四海 / 緃横四海 / OnceaThief,剧情 喜剧 动作 犯罪,8.8,香港浪漫主义警匪动作片的巅峰之作。
卢旺达饭店 / HotelRwanda / 卢安达饭店(台),剧情 传记 历史 战争,8.9,当这个世界闭上双眼，他却敞开了怀抱。
"背靠背，脸对脸 / 背对背，脸对脸/BacktoBack,FacetoFace",剧情,9.5,
心灵奇旅 / Soul / 灵魂奇遇记(港)/灵魂急转弯(台),动画 奇幻 音乐,8.7,
记忆碎片 / Memento / 凶心人(港)/记忆拼图(台),犯罪 剧情 悬疑 惊悚,8.7,一个针管引发的血案。
疯狂的石头 / CrazyStone,喜剧 犯罪,8.6,中国版《两杆大烟枪》。
雨中曲 / Singin'intheRain / 万花嬉春(港/台),喜剧 歌舞 爱情,9.1,骨灰级歌舞片。
2001太空漫游 / 2001:ASpaceOdyssey / 2001：星际漫游/2001：太空奥德赛,科幻 惊悚 冒险,8.9,现代科幻电影的开山之作，最伟大导演的最伟大影片。
无间道2 / 無間道II / 无间道前传/InfernalAffairsII,剧情 犯罪 惊悚,8.7,
岁月神偷 / 歲月神偷 / 1969太空漫游/EchoesOfTheRainbow,剧情 家庭,8.7,岁月流逝，来日可追。
忠犬八公物语 / ハチ公物語 / 八千公物语/阿八的故事,剧情,9.2,养狗三日，便会对你终其一生。
小偷家族 / 万引き家族 / Shoplifters/UneAffairedeFamille,剧情 犯罪 家庭,8.7,我们组成了家。
无敌破坏王 / Wreck-ItRalph / 破坏王拉尔夫/破坏王大冒险,喜剧 动画 奇幻 冒险,8.7,迪士尼和皮克斯拿错剧本的产物。
荒蛮故事 / Relatossalvajes / 蛮荒故事/生命中最抓狂的小事(台),剧情 喜剧 犯罪,8.8,始于荒诞，止于更荒诞。
冰川时代 / IceAge / 冰河世纪/冰原历险记,喜剧 动画 冒险,8.6,松鼠才是角儿。
爆裂鼓手 / Whiplash / 鼓动真我(港)/进击的鼓手(台),剧情 音乐,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
恐怖游轮 / Triangle / 汪洋血迷宮(台)/轮回三角,剧情 悬疑 惊悚,8.5,不要企图在重复中寻找已经失去的爱。
牯岭街少年杀人事件 / 牯嶺街少年殺人事件 / ABrighterSummerDay,剧情 犯罪,8.9,弱者送给弱者的一刀。
东京教父 / 東京ゴッドファーザーズ / TokyoGodfathers,剧情 喜剧 动画,9.0,
贫民窟的百万富翁 / SlumdogMillionaire / 一百万零一夜(港)/贫民百万富翁(台),剧情 爱情,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
魔女宅急便 / 魔女の宅急便 / 魔女琪琪(台)/小魔女限时专送,动画 奇幻 冒险,8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
东邪西毒 / 東邪西毒 / AshesofTime,剧情 动作 爱情 武侠 古装,8.6,电影诗。
大佛普拉斯 / TheGreatBuddha+,剧情 喜剧,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。
